NORP	ORG	GPE	PERSON
DEMOCRAT	I’m Independent	Washington	REPUBLICANS
Americans	REPUBLICAN	Cuba	
DEMOCRATS	Independent	Korea	
American	TAXES	America	
DEMOCRAT	the REPUBLICAN PARTY	Vietnam	
	REPUBLICANS		
	REPUBLICAN		
	Absentee Ballot		
	CALENDAR		
