GPE	ORG	PERSON
San Bernardino	California Teachers Association	Dorado County Supervisor
Neighbor	Phone	Wilma Chan
Sacramento	Solano County Board of Supervisors  Urban Counties Caucus 	John Upton
Alameda County	Prop	Zev Yaroslavsky
West Hollywood	California Legislative Council	
Santa Clara County Board of Supervisors	Contra Costa Board of Supervisors	
San Francisco Chapters  Service Employees International Union	California County Librarians Association	
Santa Rosa  City	7th Floor	
San Francisco	California State Parent	
Los Angeles County	Law Enforcement/Public Safety	
Los Angeles	California Federation of Teachers 	
Costa County	California Organization of Police and Sheriffs  Chief Probation Officers Association	
	AFL-CIO	
	California Independent Public Employees Legislative Council	
	California Professional Firefighters  Police Officers Research Association	
	Humboldt County Board of Supervisors	
	California School Employees Association	
	California School Nurses Association	
	California Coalition of Law Enforcement Associations	
	Association for Los Angeles	
	San Francisco Board of Education	
	CA 94103	
	Municipal Employees	
	American Association of University Women	
	KEEP	
	California Federation of Labor	
	Alameda County Board of Supervisors  California Association of Regional Park and Open Space Administrators	
	State Superintendent of  Public Instruction Delaine Eastin	
	CA 90057	
	California State Association of Counties	
	Sierra Club	
