GPE	NORP	ORG	PERSON
Committee-1948	Democrats	Senate	Tom Hayden's
Woodland Hills	Republicans	Ventura Blvd	Steve Greenberg
San Fernando	Valley Democrat	State Senate	Alan Boinus Rick Mahn Joyce Brand
Beverly Hills	Republican	the Democrat Party	Tom Hayden
Santa Barbara	Russian	the University of California	Jay Berger Maureen Lewis
B.A.	Jewish	Great American Food & Beverage Company	Jerry Sinclair
Topanga Canyon		the American Marketing Association	Leslie Steier
Santa Monica		Scott	Scott Schreiber
Myrna		Taft High School	James Grant
the City of Hope		State Senate	Bernard Cohen
Woodland Hills		the Westside Chapter	Suite
California		Czarist	Keenan Milner
Santa Monica Beach		Board	Rickey Gelb Sam Schwartz
Hollywood		Little League	Michael Moses
			Robert Berger Gordon Lurie
			Bob Pearlman
			Meyer Bendavid Jonathan Kolkey
			L.A. Truman
			Wayne Adelstein Glen Honig
			Stan Sapiro
			Ken Gursten Brian Tannenbaum
			Shimon Erem Bob Rodine
			Cathy Balen Cathy Hughes
			Karen Haber Lou Woolf
			Paul Davis
			Sue
			Hilda Kesmer
			Scott Schreiber's
			Justin
			Harry
			Kids Safe
			Robin Yount
			Wilshire Blvd
			Scott
			Scott Schreiber
			Scott
			Hilda Kestner
