GPE	ORG	PERSON
California	the “California Civil Rights Initiative	Diane Feldman
California	National & State Business,	Robert Shrum
Los Angeles	Labor	Patricia Ewing
USA	the “Girls Science Network	
San Francisco	Equal Rights Amendment	
	California Teachers Association	
	Nichelle Lyons	
	Grex 90048	
	Committee	
	The Campaign to Defeat 209	
	LA Headquarters	
	the NAACP Legal Defense and Educational Fund	
	the Lawyers Committee for Civil Rights	
