ORG	PERSON	GPE	NORP
USA Direct	Chandler Bivd	the Official State of	’s
The Hertzberg Committee	Sherman Oaks	California	
Fair Campaign Practices	Francine Oschin	California	
State	Tod	Young	
Pinciptes	ais OS oF ND	LA City’s	
Treasurer for Proposition	solemaly pledse ove		
California Nurses Association	Jor USE OR		
California Teachers Association	aoa dhe 		
PERDUT	WO		
GATT	Bob		
CA	Francine Oschin		
SFV	Del Ha		
DEMOCRAT STATE ASSEMBLY	Bob Hertzberg		
neteby volunt			
-Taxpayers for Clean Government			
BOVE			
Gallfornia Beriberatic Party			
Southern California Alliance of Law			
SS			
the Executive Committee of Proposition 68			
O08			
BOB HERTZBERG			
ETHICS			
ERTZBERC			
Sg National Organization for Women NOT USE			
AERTS			
Sn			
