GPE	ORG	PERSON
California	the Kenned Administration	Clinton
CALIFORNIA	Improved Economic and Fiscal Conditions	ECONOMIC PROGRESS
the United States	The Family and Medical Leave Act	Harry Truman
California	Earned Income Tax Credit	Clinton
CALIFORNIA	the Clinton Economic Plan	ECONOMIC PROGRESS
the United States	OAMOR TY	Harry Truman
	the Clinton Administration	
	TIMES	
	Improved Economic and Fiscal Conditions	
	The Family and Medical Leave Act	
	Earned Income Tax Credit	
	the Kennedy Administration	
	the Clinton Administration	
	TIMES	
