GPE	ORG	PERSON
California	POLITICAL	Gov Info
U.S.	ASSEMBLY	Dan Walker
Torrance	Walker	Dan
	DAN WAL	Dan  Walker
	DAN WALKER	Dan Walker's
	po.tars &  ial Favors for Spesial Friends	
