GPE	ORG	PERSON	NORP
U.S.	State Assembly	Francine Oschin	Democrats
Van Nuys	Voting for FRANGHINE OSCHIN  Ahsentee Ballot Application	Shark	Democrat
Sacramento	Complete & Mail	Bob Hertzberg	Vietnamese
Hertzberg	Assembly	Francine Oschin	Japanese
Los Angeles City	the State Assembly	graffiti	
n’t	Council	Zip Code	
LA	Complete & Mail	Designate N.S.E.W.	
Sherman Oaks	the State Assembly	Francine Oschin	
the State of California	Hertzberg	CA 90030-0450	
Norwalk	the Court		
Los Angeles County	ASSEMBLY		
Los Angeles	Assembly		
	State Assembly		
	Registrar-Recorder/County Clerk		
	VOTER		
	E. Imperial Highway		
	Assembly		
	Rural Route		
	Perjury		
	CA 91423		
