GPE	ORG	PERSON	NORP
Uae	SAS	TOM HAYDEN	Republicans
Santa 	Mi FZ	Voter Alert	Republican
Los Angeles	ag	Fenton Elementary	
SB	MTA	Tom	
California	Hurtt	0.J. Simpson	
Sacramento	UC Irvine	Tom Hayden	
FPPC#920692	DIFF	Rohypnol	
Los Angeles	Republican Caucus	Marty Rubin	
	SB	Hayden	
	Senate	Monica Bay	
	Endangered Species Act	Tom authored	
	NN VA Campaign	TOM HAYDEN	
	3rd Floor	Rob Hurtt	
	CA 90064	W. Pico Bivd	
		Tom Hayden	
		Tom	
