ORG	GPE	PERSON
THE GLENDALE FIREFIGHTERS ASSOCIATION	California	Anan Seuiee
THE GLENDALE TEACHERS ASSOCIATION		ADAM SCHIFF
Federal Criminal Prosecutor		Robert Holmes
Glendale		Sandi Steinberg
GLENDALE FIREFIGHTERS ASSOCIATION LENDALE TEACHERS ASSOCIATION  GLENDALE EAC  Dear Friend		Adam
Glendale School Board		Adam Schiff
State		Jack Morrison
Glendale Firefighters Association Glendale Teachers Association		Lynda Rocamora
Glendale Community College		
