GPE	NORP	ORG	PERSON
California	Americans	the Border Patrol	PATRICK J. BUCHANAN
Referendum	Southern	Dear Friend	¢
Pakistan	American	the Republican Party	Phil Gramm
New York	Republican	Republican Party	Clinton
Texas	American	Congress	Arlen Specter
Florida	Americans	Border Patrol	Threg
Houston	American	the World Trade Center	Bob Dole
Chicago	Republican	ABC News	Teddy Roosevelt
California	American	Medicaid	Buchanan
El Paso		GOP	Balkanized
San Diego			J. Buchanan
Miami			
al.			
Los Angeles			
Denver			
EL Paso			
Washington			
America			
Referendum			
New Hampshire			
P.S.			
Iowa			
America			
