ORG	PERSON	GPE	NORP
MPAIGNS ag ASSEMBLY	Gov Info	California	Californians
California Teachers Association	Scott Wildman	Sacramento	
American Federation of Teachers Community College Guild	Delaine Eastin	U.S.	
California Federation of Teachers	Scott Wildman		
United Teachers of Los Angeles	Steven H. Craig		
Burbank Teachers Association	Scott Wildman		
California School Employees Association			
California Faculty Association			
Scott			
the California Democratic Party			
Peace Officers Research Association			
