GPE	ORG	PERSON
California	State	Rita Tamerius
PO FU	California Abortion and Reproductive Rights Action League Political Action Committee Voter’s Guide	Tricia Hunter
PoaR	MEMBERSHIP	D31
McClain	STAMEGASSEMBLY	Tommy Randle
AD71	the State Legislature	Wesley
PO PD	Assembly	Betty Karnette
CD44	Xavier Becerra p CP52_Darity	R.O. Davis
ZZ	CONGRESS	Jane Harman
PO	Tue STATE ASSEMBLY	Gary George
	the State Senate	Steve Horn
	Voter’s Guide	Bob Filner
	Asterisk - Incumbent 	GbIsieelowand Berman
	CALIFORNIA ASSEMBLY	Patsy Hockersmith
	ROD	Gerri Schipske
	CARAL-South Choice	Tale Juanita McDonald
	S74	aMasine Waters p 9D23 Tom Hayden
	AD58& 	Adam Schiff
	Brooks Firestone	Sally Alexander
	AO	David Cochran
	CALIFORNIA SENATE 	Peter Navarro
	CDA	Ray Haynes
	S& Check	Scott Wildman
	Pro-Choice	Carl Washington
	VOTE	Louis Caldera
	EOE	Betty Sanders
		Floyd DD
		Edward Vincent
		Roderick Wright
		Marilyn Brewer
		Matth
		Robert Unruhe
		Steve Clute
		Grace Slocum
		Susan Davis
		Wally Knox
		DisneTeatnan
		Jon Lauritzen
		David Heywood
		Sah Julian
		Janet Gastil
		Diane Martinez
		Martin Gallegos
		Joe Baca
		Grace Napolitano
		Loretta Sanchez
		Sheila Kuehl
		Kevin Murray
		Fred Clayton
		Lucille Roybal-
		Guy Kimbrough D
		Doug Kahn
		Antonio Villaraigosa
		Bob Hertsberg
		John Birke
		Henry Waxman
		Susan Amaya
		Debra Bowen
		Bill Clinton
		Lou Correa
		Patricia Jean Parker
		Martha Escutia
		Tom McClintock
		Brett Granlund
		Patsy Hockersmith
		Gerri Schipske
		R.O Davis
		Cathie Wright
		Shirley Palley
		Susan Brooks
		Paul Stepanek
		Scott Schreiber
		Jim Brulte
		Dick Ackerman
		Steve Baldwin
		Edward Vincent
		Scott Baugh
		Bill Campbell
		Walter Capps
		John Leonard
		Robert Pullen-Miles
		Marilyn Brewer
		George Brown
		Robert Dornan
		Jon Lauritzen
		Tina Louise Laine
		Richard Waldron
		Michael Voetee
		Robert Conaway
		Joe Baca
		Ronald Hayes
		Brad Sherman
		Deborah Vollmer
		Glenn Elssman
		Tony Cardenas Ollie McCaulley
		Anita Rufus
		Tom Hayden
		Audrey Gibson
		Gladys Miller
		Jack Roberts
		David Levering
		a Ze Zim Zo
		Bill Leonard
		Christopher Cox*
		Jess Herrera
		Bill Clinton
		Jan Goldsmith
		Dan Farrell
		John Lewis
		Betty Karnette
		Jonathan Leornard
		David Nunez
		Bob Filner
		Sally Havice
		Adam Schiff
		David Cochran
		Gary Miller
		Fred Aquiar
		Betty Sanders
		Jay Imperial 
		Dan Walker
		Julian Dixon
		David Kelley
		Jim Morressey
		Steve Clute
		Steven Figueroa
		David Heywood
		Aneesh Lele
		Janet Gastil
		Loretta Sanchez
		David Dreier*
		Tom Bordanero
		Curt Pringle*
		Larry Ardito
		Henry Waxman
		Alpert Nunez
		Debra Bowen
		Bruce Thompson*
		Adam Ross
		Tricia Hunter
		Rick Zbur
		Steve Horn
		Randy Cunningham
		Esteban Torres
		Ross Johnson
		Steve Kuykendall
		Brent Decker
		H.R. Ron Culver
		Shirley Morton
		Diane Trautman
		Sally Alexander
		Peter Navarro
		Louis Caldera
		Scott Wildman
		Carl Washington
		Jim Battin
		Jim Kleinpell
		Eric Carlson
		Guy Kimbrough
		Endorsed Candidates
		Phil Hawkins
		Andrew Kim*
		Bill Glass
		John Flores
		Roderick Wright
		Dierdre Alpert
		Bob Dole
		Madelene Arakelian
		Mark Benhard
		Brian Bilbray
		Zi 
		Jack Scott
		Dana Rohrabacher
		Howard Berman
		Lucille Roybal-Allard
		Wally Knox
		Sonny Bono
		Martin Gallegos
		Grace Napolitano
		Kevin Murray
		Sheila Kuehl
		Jane
		Richard Lambros
		Robert Wilberg
		Adrian Kwiatowski D N
		William Strinati
		William Thomas
		Edward Royce
		Joe Dolphin
		ADG6G 
		Antonio Villaraigosa
		Tommy Randle Richard Mountjoy
		Juanita MacDonald
		Bob Divine
		Lou Correa
		Jay Kim*
		Rita Tamerius
		Ken Calvert*
		John Geranios
		Howard Wayne D P
		Gary George
		Jerry Lewis
		Richard Floyd
		Paula Boland
		Bill Morrow
		Elton Gallegly*
		Pete Knight
		G. Michael Lee
		Paul Avila
		Andrea Seastrand
		Bob Margett
		Robert Unruhe
		Darity Wesley
		Susan Davis
		Hans Schroeder
		Ron Packard
		Diane Martinez
		Bob Trettin
		Linda Wilde
		Duncan Hunter
		Matthew Martinez
		Howard McKeon
		Howard Kalgoogian
		Anthony Clarke
		Rod Pacheco
		Fred Clayton
		Rich Sybert
		James Rogan
		Bob Hertsberg
		John Birke
		Cal Dooley
		George Runner
		Susan Amaya
		Bill Hoge
		Prone Mme S
		Aproaeg Sopg
		Election Voter
