GPE	ORG	PERSON	NORP
Aoeo0apy pooyjueieg pouuelq 	Jesieduou ia €	PU yelo1	Democrat
OY	SIU	JOU Ss	Republican
LOS ANGELES COUNTY	UOHIa]q	Scott Fritschler Lib	Dem
XM	Dem Y YY YY Yovixiniy	Tony Cardenas	Congressional
Rep NNNNNNNNNNNNN	Marya Small  Dem	Martha Escutia	
YY YY	Dem |Y YoY	Tom McClintock	
U.S.	VOOOY ONY	John Peter Daly	
	P&F	Cathie Wright	
	Response	Yi	
	Dem YY	Scott Schreiber	
	Arthur Hays AD 57	Edward Vincent	
	CONGRESS	Virginia Neuman	
	VY	Jon Lauritzen	
	YYQQQYNNNNYYNYY	John McCready	
	Y YY YY Yi	Richard Waldron	
	Yi OY	Lib YYNYYYNNNNYYY	
	NYNNNNYQY	YY Yasar	
	Anti-Choice	Ronald Hayes	
	NL YY	J. Luis Gomez	
	Roybal	Brad Sherman	
	J. Walter Scott AI NNNNNNNNNNNNNNY	KO	
	YNY YR	Andrew Kim AD	
	Mego AI NNQNNQQQNNNNQNQ	Bruce Acker Lib YYNNNYNNNNYYNNY	
	Dem YY MYY Yi Vivi	Tom Hayden	
	NL	Herbert Paul	
	Bradley McManus NU	Gladys Miller	
	YAN	Dem Y Yi	
	the Advocacy Project	Election Voter Guide	
	Congress	Rep Answer	
	Extraction	Phil Baron	
	the California Legislature	YY	
	Senate	Eric Carlson Rep Answered TVC Questionnaire	
	ASSEMBLY	Yi Oy	
	Planned Parenthood	Betty Karnette	
	Assembly	Doug Kahn Demi	
	the U.S. Senate	Ollie McCaulley	
	The Planned Parenthood Advocacy Project	Neal Donner	
	the U.S. House of Representatives	Dem YYYYYYYYYYYYY	
		Sally Havice	
		Bruce Dovner Lab MY VV	
		Adam Schiff	
		YYYYY Rep MNYNNY YY  Rep	
		Patricia Jean ParkerRep	
		David Cochran	
		Gary Miller	
		Michael Voetee Rep	
		Dan Walker	
		YNNYNNNYYNY Rep	
		Julian Dixon	
		Susan Brooks Rep YNYYQYY- - NNNNYN	
		Robert Swanson	
		YYNNNNNNNNYNNNY G. Hearne	
		ew viv -  Rep	
		Steven Figueroa	
		Rep YNYYNYYNNNYNY	
		Jay Kim 	
		Eric Michael Fine	
		Rashied Jibri NL	
		Bob Davis	
		Paul Stepanek Rep Answered TVC Questionnaire	
		Jack Dean	
		Larry Ardito Rep Answered TVC Questionnaire	
		YYYYYYYYYYYYYYY	
		YYYYYYYYYYYYYYY Pro-choice	
		DemiyyNs Yin	
		Gerrie Schipske	
		Henry Waxman	
		Y Yum	
		YY Yi	
		Rep	
		Debra Bowen	
		Paul Gautreau	
		Bob Hertzberg	
		Adam Ross	
		YY Vir vin	
		Richard Newhouse Lib	
		William Yeager	
		Jane Harman	
		Rep YYYY- YNNNNYNY	
		Rick Zbur	
		Steve Kuykendall	
		Esteban Torres	
		Kelley Ross	
		Lib YYNNNYNNNNYYY Dem	
		Brent Decker	
		Rod Wright	
		Y Wx	
		Vey	
		Louis Caldera	
		Scott Wildman	
		David Levering Dem YYYYYYYYYYYYYYY	
		Carl Washington	
		Rep Answered TVC Questionnaire	
		Jim Kleinpell	
		Elizabeth Michael Lib YYYYNYYNNNYYYYY	
		Willard Michlin	
		Phil Hawkins	
		Bill Glass	
		Justin Gerber P&F	
		Mark Benhard	
		Jack Scott	
		Wally Knox	
		Mn Noman	
		Martin Gallegos	
		Mike Binkley Lib	
		David Cossak	
		Kevin Murray	
		Sheila Kuehl	
		Richard Lambros	
		Grace Napolitano	
		Martin Zucker NL	
		Brian Rees NE	
		Erich Miller Lib	
		David Nunez Rep Answered TVC Questionnaire	
		Ed Royce	
		Vix Yomriixikey	
		Bob Weber	
		YY Yoynyxoy	
		Howard McKeon Rep	
		Dem YYYYYYYYYYYYYYY	
		Robert Pullen-MilesRep	
		Antonio Villariagosa	
		Steve Horn Rep	
		Jay Imperial	
		Yi Pro-choice	
		Dem YYYYYYYYYYYYY	
		Richard Mountjoy Rep	
		John Geranios	
		John V. Flores Rep Answered TVC Questionnaire	
		Y---- Demy Vite YY	
		Moe YY	
		Rep YNYYNYYQYNYNY	
		John P. Leonard Rep Answered TVC Questionnaire	
		Richard Floyd	
		Y Yo	
		Ralph Shroyer	
		Paula Boland	
		John Honigsfeld	
		Diane	
		Howard Berman Dem YYYYQYYYYYYYYYY	
		Pete Knight	
		Howard Johnson Lib YYYYYYYYYYYYYYY	
		Mixed Pro-choice	
		YY Yk Mo	
		Michael Everling Lib	
		Bob Margett	
		YY Yry	
		Yi Yr	
		David Argall Lib NNNNNNNNNNNNYYN	
		Ted Brown	
		Walt Conteras	
		Shirley Mandel Pa Yk	
		Diane Martinez	
		Charles Black	
		Ken Saurenman	
		Matthew MartinezDem	
		Anthony Clarke	
		Y YY	
		Bob New	
		Rich Sybert	
		Gordon Michael	
		David Drier Rep	
		John Birke	
		Albert Nunez	
		James Rogan Rep	
		Shirley Isaacson	
		George Runner	
		Susan Amaya	
		Bill Hoge	
		Jonathan Leonard	
		¢ Supports	
