GPE	ORG	PERSON
THE UNITED STATES OF AMERICA	Hagelin/Tompkins	Yard Sign
Calif.	Hagelin/Tompkins ‘	Hagelin/Tompkins
Hagelin	NLP Globe	Mike Tompkins/University of Richmond
VA	Audiotape	Organic Cotton T-Shirt
the United States of America	Videotape  Genetic Engineering Press Conference	John Hagelin
Fairfield	SEND	Videotape John Hagelin/FCC Testimony
IA	the Natural Law Party	John Hagelin/Commonwealth Club
		Videotape Mike Tompkins/University of Richmond
