GPE	ORG	PERSON
U.S.	4) USA Direct	Tom Bradley
EB	Los Angeles Police Department	Richard Riordan
San Fernando Valley	LA Police Commission	Cia Willie Williams
Los Angeles	United Firefighters	Joel Wachs
San Fernando Valley	Los Angeles Police Protective League	Bert Boeckmann
	United Chambers of Commerce	Hal Bernson
	Van Nuys Homeowners Association	Gang Detail
	Woodland Hills Homeowners Association  Vote	Willie Williams
	Division	Laura Chick
	Encino Homeowners Association	Richard Alarcon
	Propos	UNITES
