GPE	NORP	ORG	PERSON
Santa Monica Mountains	Republican	Congress	Barbara Boxer
L.A.	PROPOSITIONS	California Democratic Alliance	Tony Beilenson
California		CA 90017	Wilshire Blvd
Santa Monica		Social Security	Dianne Feinstein
		Medicare	Brad Sherman
		the California Democratic Party	Jobn
		Hertz	Bob Hertzberg
		Environmental Crimes/OSHA Division	Appearance
		ASSEMBLY	Hertzberg
		Assembly	John Lynch
		CALIFORNIA DEMOCRATIC ALLIANCE	Gov Info
		CONGRESS	
		SUPERIOR COURT	
