GPE	ORG	PERSON
California	Non Profit	Paula Boland
US	WN	Crime Victims
Los Angeles County	SS	Bill Jones
Los Angeles County Sheriff	Republican Party	You’re-Out” Law
P.S.	Angeles Police Protective League STATE SENATE 	3-Strikes
	California State Sheriffs’ Association	Bill Lockyer
	State Senate	Paula Boland
	Ge	Assemblywoman Paula Boland
	California Correctional Peace Officers Association	Adam Schiff’s
	California Reserve Peace Officers Association	Paula Boland
	California Council on Police & Sheriffs	You’re-Out
	California Union of Safety Employees Citizens for Law & Order Crime Victims United	Adam Schiff
	Southern California Alliance of Law Enforcement	
	California Peace Officers Association	
	Twi LN	
	State	
	State Senate	
	the Assembly Public Safety Committee	
	Legislature	
	Legislative	
	Boland	
	ER	
	Burbank	
	California Republican Party	
