GPE	ORG	PERSON	NORP
Culver City	PCC	Scott	Democrat
California	Claremont Graduate School	Jack Scott	Republican
Pasadena	Graduate School of Edu-	Gov Info	American
U.C.	State Assembly	Jack Scott	
California	Yale University	Jack Scott’s	
Sacramento	Pepperdine University's	Scott	
California	Scott	Morale	
Sacramento	POLITI  PASADENA STAR-NEWS	Jack Scott	
Los Angeles	the University of California	Jack Scott	
U.S.	P.C.C.	Aehtine	
M.A.	Pasadena City College	Slayings Put Son	
Scotts	National College Math Contest	Scott	
Texas	California State University	Adam	
B.A.	Scott	Jack Scott	
California	CSU	Sharon	
Pasadena	Pepperdine University	Jack	
Los Angeles  Association of California Community College	Community Education Center	Sheila	
Altadena	Legislature	Lacreta Scott	
U.S.	PCC	Greg	
	the California Organization of 	Adam	
	Legislature	Lacreta	
	Gun Control	Amy	
	Indicate	Jack Scott	
	Los Angeles Municipal Court	P.O. Box 725	
	sunWwecn		
	Abilene Christian University		
	Orange Coast College		
	Claremont Graduate School		
	Pepperdine University		
	Cypress College		
	Pasadena City College		
	Yale University		
	Cerritos College		
	Scott		
	U.S.C. Law School		
	Church		
	COPE  International Brotherhood of Electrical Workers  Faculty Association		
	California Faculty Association		
	California Nurses Association		
	California State Employees Association		
	California Teachers Association		
	CA 91003		
	United Food and Commercial Workers		
	California Organization of Police and Sheriffs 		
	CA		
	California Labor Federation		
	California League		
	California Community College		
	California School Employees Association		
	United Teachers of Los Angeles  Association of California School Administrators		
	California Sierra Club		
	State Assembly		
	AFL-CIO		
	Assembly		
	Police Chiefs Association		
	California State Firefighters Association		
	California Federation of Teachers		
