GPE	ORG	PERSON
California	California Correctional Peace	Barbara Kiley
California	Co-Chair Proposition 187 Campaign Against Illegal Immigration	Jane Whitaker
LA County Sheriff	Los Angeles Times	Wildman
	Glendale School Board	Lewis K. Uhler
	Glendale News Press	Scott Wildman
	National Tax Limitation Committee	Don Novey
	Assembly	Ginger Bremberg
	Burbank	Dan Lungren
	Glendale	Jane M. Whitaker
	Suite 1 Glendale	John Geranios
	Chair Crime Victims United	North Brand Blvd
	the University of Southern California	Harriet Salarno
	Los Angeles Times	Sherman Block
	Glendale School Board	
	the Business Department	
	Glendale News Press	
