GPE	ORG	PERSON
U.S.	Voting Guide	Gov Info
California	Congress	Maps
U.S.	Local School Measure S	Bulk Rate
BB	LA Chamber	Voter Guide
CALIFORNIA	Congress = Better Government	Quackenbush
	For Good Government	Appearance
	Uninsured Motorists	Voter Guide
	Superior Court	Stop The Ripoff
	GOP	Dan Lungren
	Insurance	Vote - Murphy
	Statewide Ballot Measures	Bob Dole
	Fed	W. Carson St.
	California Voter Guide	Marijuana
	CA	Ban Lobbyists’ Tax Deduction
	the California Republican Party	Gifts
	LIMIT	Stop Runaway Taxes
		Chuck Quackenbush
		Restrict Out-of-District Money
		Dan Lungren
		Keep
		Bob Dole
