GPE	NORP	ORG	PERSON
Santa Monica	Activist	Municipal Court	Local Businessman
Santa 		Pico/Cloverfield	YW Richard Bloom
Santa Monica Airport		PTA	City su
		Friends of Sunset Park	Family Law
		Vision	Flyer
		City Council - nov	
		Chamber of Commerce	
