GPE	NORP	ORG	PERSON
California	Republicans	Glendale News-Press	John Geranios
Sacramento	Republicans	CA	Curt Pringle
Burbank		another Empty Suit	Bob Kramer
Hollywood		Glendale News- Press	Geranios
LA		Republican Assembly	Arnold Astorga
Sacramento		State	3/9/96
U.S.		Temple Sinai Candidate Forum	Ginger Bremberg
		the California Democratic Party	
		Glendale News-Press	
		Burbank	
		Glendale	
		Daily News	
		Glendale College	
		Central Committee	
