GPE	ORG	PERSON
UNITED STATES	Inglewood	KARL W. JAEGER
D.A.	POLITICAL PARTY ORGANIZATION	Educator
WASHINGTON	VOTE	Appearance
United States	the Municipal Court	JOHN F. LYNCH
U.S.	Attomey-Client Fees	Yvonne Braithwaite-Burke
L.A.	THE CALIFORNIA POLITICAL INSTITUTE	+ AL GORE
	THE STATE ASSEMBLY	Robert Goldsworthy
	Attomey Fees	BILL CLINTON
	MedicalMariuana	Supervisor Yvonne Braithwaite-Burke
	State	Mervyn Dymally Director
	HDM	Mervyn Dymally
	Ret	
