GPE	ORG	NORP	PERSON
Sacramento	the California Democratic Party	African-American	Russell
California	Boland	Republican	Wilbert Smith
	State	Republican	Smith
	Superior Court		Newt Russell
	Boland		Paula Boland
	Court		Boland
	Adam California Poli		Oltman
	Boland		Bob Oltman
	Peace Officers Research Association		David Schacter
	Schiff		Adam Schiff  Schiff
			Adam
			Adam Schiff
			Paula Boland
