GPE	NORP	ORG	PERSON
U.S.	Republican	Congress	Brad Sherman
Santa Monica Mountains	Democratic	UCN TE	Howard Berman
Israel	Guardians	UCLA	Barbara Boxer
P.S.	Democrat	House of Representatives	Valley Beth Shalom
	Democrats	U.S. Congress	Sherman
		Ventura Blvd	Sherman Oaks
		the Jewish Home	Brad
		Social Security	Henry Waxman
		Congress U.S. Congress	Dianne Feinstein
		Medicare	Howarp BERMAN
		the Board of Equalization	Henry WaxMaANn
		Harvard Law School	C00308742 Oe
		the California Democratic Party	Tony Beilenson
