GPE	ORG	PERSON	NORP
California	Non-Profit	Gov Info 	Republican
Orange County	Schiff	Paula	Republican
Sacramento	BOLAND	Bob Oltman	Democratic
Pasadena	the National Rifle  Association	Adam	DEMOCRATS
South Pasadena	CYNICAL NEGATIVE CAMPAIGN	Paula Boland	Democrats
	Boland	Oltman	Independents
	the Department of Justice	Adam Schiff	Republicans
	City Council	Jarvey Gilbert	
	La Canada-Flintridge	Anne Pursel	
	Flintridge School Board	Meredith Reynolds	
	Burbank City Council	Dave Golonski	
	Connie Lackey	ADAM SCHIFF FOR STATE SENATE	
	Burbank School Board	Harry Knapp	
	Glendale School Board	Adam Schiff	
	South Pasadena City Council	Dorothy Cohen	
	Pasadena Schoo	Amedee O. Richards	
	Burbank	Carol Liu	
	Pasadena School Board	William Paparian	
	San Marino School Board	ADAM SCHIFF	
	Pasadena City Council	William Moffitt	
	Crescenta Valley Town Council  Local Independent Leaders	Robert Holmes	
	REPUBLICANS	Bob Kramer	
	La Canada-Flintridge School Board	George Padilla	
	Pasadena School Board	Jeanne Broberg	
	Federal Criminal Prosecutor	George Van Alstine	
	South Pasadena School Board	Patricia Martinez-Miller	
	Valley Town Council	Virginia Dalbeck	
	La Canada- Flintridge School Board	Bill Crowfoot	
	the California Democratic Party	Alva Lee Arnold	
		La Canada-	
		Joyce Streator	
		Ted McConkey	
		Solveig Traeger	
		Chris Holden	
		Jerry Van Orden	
		David Nos	
		Rick Cole	
		Susan Spanos	
		Adam	
		Margaret Ann Abdalla	
		Lynda Rocamora	
