GPE	ORG	PERSON
Expand	Assembly	Ban
California	DARE	Neighborhood Watch
Los Angeles Peace Officers Professional Association	TOUGH	Bob
LA	Drug-Free Community	BOB HERTZBERG
	Expand Neighborhood Watch Programs	Bob Hertzberg
	Police Officers Research Association of California  * Association for Los Angeles	
	California Coalition of Law Enforcement Associations	
	the Los Angeles Alliance	
	Southern California Alliance of Law Enforcement	
	SN	
	uBledweg	
	XING	
