ORG	PERSON	GPE	NORP
POLITICAL	Gov Info	California	Democrats
State	John S. Herrington	Washington	Republicans
Burbank	John Herrington	America	Americans
Visa	Bill Clinton	Sacramento	Americans
the California Republican Party	Lj Mastercard		Republican
State Party			
California Republican Party			
Shawn Steel			
CA 91506 *			
GOP			
AMEX			
LJ			
un			
the Republican Party			
