GPE	ORG	PERSON
Santa Monica	POLITICAL	Ken Genser
U.S.	W.M.I.	Gov Info
Santa Monica-Malibu	Los Angeles Times	Ken Genser + PO Box
Santa Monica Firefighters Association	CA 90406	Smart
Virginia Park	SANTA MONICA_-	George Menta
Santa Monica	the City Council	¢ Closing
Santa Monica	Council	Steven Brackett
Santa Monica	Parks & Open Space	Monica Pier
	Renovate Palisades	Ken Genser’s
	Board of Education	Brenda Gottfried
	the City Council	¢ Model
	California Planning & Development Report	Lincoln Parks
	Officers’ Association  Helping Educate Our Kids	William Fulton
	City Council	Ken
	Pier Restoration Corp.	Ken Genser
	Santa Monica Planning	Ken Genser
	Council	¢ Founding
