GPE	NORP	ORG	PERSON
DEMOCRATS	Sater	State Assembly	Clinton
Sherman Oaks	Democratic	Sen Feinstein	JAMES KUEHL
Santa Ana	Republican	Senate	Pro-Tem
Livable City	Firefighters	Santa Monica Council	Sr Serv 
Calif		Ventura Blvd	Appearance
Santa Monica		AARP Support - 	Suite
California		Medicare	Pat Murphy
		Teachers	Weakens
		CA	Clinton
		Congress	Al GORE
		Save Social Security	Gil
		PTA	Bill CLINTON
		A Democratic Victory in ‘96	Feinstein
		Consumers Union	marijuana
