ORG	PERSON	GPE
CALIFORNIA SENATE - 	Gov Info	U.S.
POLITICAL	Adam Schiff	N
RELATI	Bill Lockyer	
WI	Adam	
ADAM	Bill Lockyer	
Boland Campaign  Committee	Smoke	
Ocean View Blvd	Willie Brown	
Senate		
Boland		
Glendale News Press		
Glendale		
