GPE	ORG	PERSON
Santa Monica	POLITICAL	Gov Info
Ashland	Santa Monicans for Renters Rights	Olsen
SANTA MONICA -	SM	Genser
Santa Monica	Campaign Literature USA Direct	Annette Shamey
Santa Monica Pier	SMRR	Todd Hess
Santa Monica’s	the City Council	Pat Nichelson
Santa Monica	SMRR Council	Dorothy Ann Chapman
	AAA	Margaret Franco
	City Council	ANN CHAPMAN
	SMRR Councilmembers	Bill Whalen
	Feinstein	
	Council	
	School Board	
	College Board	
	the School Board	
	the SMMUSD Child Care and Development Advisory	
