GPE	ORG	PERSON
California	Assembly	Jack Scott
P.S.	the 44th Assembly District	Treasurer
Sacramento	California Journal	CA 91101
	Victory Party	Scott
	For State Assembly	Jonathan Fuhrman
	the Los Angeles Times	Lacreta
