GPE	ORG	PERSON	NORP
California	State Assembly	Willie Bra	Actog
US	Non-Profit Org 	iB Burbank,	Jake Shirvanian
Sacramento	Burbank	CA 91506	Pro-Tem
San Francisco	California Republican Party	TONY MILLER	
Temple City	Clendale News-Press	Bill Lockyer	
D.C.	Assembly	JAMES L	
Los Angeles	BRULTE	Willie Brown	
Jr.	Witte	Willie Brown’s	
Los Angeles County	Wednestay	Voter	
Los Angeles County Sheriff	Oifice	Adam Schiff’s	
	Say  Assembly	Stung	
	Burbank	¢	
	Democratic Party	Adam Schiff	
	State Assembly	County Regie	
	California Legislature	James E. Rogan	
	Senate	Adam Schiff	
	un	Schill APrive	
	Recebe Cpe	Bi	
	TER	Mike Smith	
	ASSEMBLY	Jeanne Bentley	
	Ac	David Carletta	
	Schiff	Joan Feehan	
	Southern California Taxpayers Alliance Citizens for Term-Limits	Shirley Darling	
	California Council on Police & Sheriffs	Gwynn Bacon	
	Lucille Pershing	Aaron Weissman	
	Besse Licher  FE	Jane Crosby	
	California Manufacturers Association	William Dahlberg	
	California Correctional Peace Officers Association	Joan Slater	
	Councilmember David Spence  Board	Linda Waldheim	
	California Reserve Peace Officers Association	Lee Fogg 	
	John & Sharon Gregg	Denise Delurgio Dean Hopley	
	Board	Baldo Kristovich	
	Society Burbank Association of Realtors Glendale Association of Realtors Foothill Association of Realtors 	Jack Hastings	
	Councilmember Kenneth Gillanders  Hon	Marco Brambilla	
	California State Sheriffs’ Association  California Coalition of Law Enforcement Associations	Bill White	
	State	John Conlan	
	Southern California Alliance of Law Enforcement	Rosemary Burnett	
	Burbank	Farnaz Khankhanian	
	Howard Jarvis Taxpayers Association	Bill Slater	
	California Supreme Court	Kenneth Martin	
	California Union of Safety Employees  Citizens for Law & Order	Ed	
	State Senate	Gumpertz 	
	Los Angeles Police Protective League  Glendale Police Officers Association	Mary	
		Hrayr Sassounian	
		Michael D. Antonovich	
		Lucy	
		George Deukmejian	
		Clifford Richards	
		Allan Stone	
		Jane Whitaker	
		Elliot Graham	
		Sheldon Baker	
		Johnny Zamrzla	
		Marie Canella Stone	
		Donald Swabb	
		Betty Cordoba	
		Yolanda Reinhart	
		Leonard Levy	
		Mary Ann Plumley	
		Elmer Stukey	
		James T. Edwards	
		Susan Clemens	
		Thomas D. Breazeal	
		Pat Gay Chuck	
		Carl	
		Bill	
		Carlos Moorhead	
		William Logan	
		Clark Drane	
		Ann Edmonston	
		James	
		Richard J. Riordan	
		Councilmember Ann-Marie Villicana 	
		John Gantus	
		Burnell Yarick	
		Larry Zarian	
		B.K. Holderness	
		Frederik Der-Hacopian	
		Bill Schirmer	
		Fran Buchanan	
		Jud Roberts	
		Patrick Liddell	
		Craig Missakian	
		Ginger Bremberg	
		Barry Burnett	
		Rosemary Simmons	
		Fred Fiedler	
		Mary Moro	
		Carvel	
		Jim	
		Frank Carlisi	
		Terry Buchanan	
		Thomas Moore	
		Lee Purdy	
		Richard Neiderberg	
		Frank De Santis	
		Bill Plumley	
		O.K. Earl	
		Johnston	
		Pat Simms-Chamberlain	
		Howard Dickson	
		Dorothy Heyne	
		Richard Ray	
		John McNabb	
		Norman Nelson	
		Sydney Bennett	
		John Davitt	
		Sophia Waugh	
		Wilbert Smith	
		Dave Greenbaum	
		Lynn T. Reitnouer	
		Peter Repovich	
		Lawrence Field	
		Scott Schaffer	
		Warren Jacob	
		George Ossman	
		Paul Anding	
		Gordon McDonough	
		E.P.	
		Samuel Fink	
		Nancy Allen	
		Genevieve Sultenfuss	
		Ruth Dodson	
		Henry Braun	
		Caroline Kinkle	
		Robert DePietro	
		Robert Philibosian	
		Salvatore Gangi	
		John Krikorian	
		Eric Ashton	
		Don La Grange	
		Tye Veden	
		Lucy Highlands	
		Tony Sardo 	
		Pro-Tem	
		Michaelynn Cashion	
		Peter Musurlian	
		John Llewellyn	
		Martha Evans	
		Scott Ackerly	
		Bill Wiggins	
		George A. Miller	
		Armand Arabian	
		Thomas Riley	
		Donald Reining	
		Sally Perkins	
		Cathe Wilson	
		Richard Ferraro	
		Angel Angel 	
		Al Vieri	
		Michael	
		Dolly Carl	
		Alma Olney 	
		Evelyn Bray	
		Helen Anderson	
		John Goodlad	
		Paul Weisman	
		Duane De Croupet	
		James Stauffer	
		Larry Rosine	
		Kathy Anthony 	
		Leman Herridge	
		Joyce Ayvazi	
		John Hedlund	
		Dick Starr	
		Bert Boeckmann	
		John Locke	
		Joseph Graziani	
		Lynne Raggio 	
		Tom Jeffers	
		Mark Davis	
		Franklin Kam	
		Bea Moyle	
		William Thomson	
		Newt Russell	
		Nancy	
		Dorothy Edouart	
		Michael Hastings	
		Ollie Blanning	
		Elizabeth Lent	
		Joe Hooven	
		Joe	
		Bob Gregg	
		Paul Rusnak	
		James Rogan	
		Barret Weatherby	
		Berdj Karapetian	
