GPE	ORG	PERSON	NORP
U.S.	CALIFORNIA SENATE - 	Gov Info	Italian
Panama Canal Zone	State	Juin	American
Sacramento	CA 91208 Boland Campaign	Paula	
’s	POLITICAL	Assemblywoman Boland	
	Ocean View Blvd	Paula	
	Boland	Lloyd	
	Glendale	JR	
	CO Committee	Lloyd E. Boland	
	the U.S. Army	Gene Sh	
	Exemplary Service	Paula Boland	
	the Chamber of Commerce	LLOYD E. BOLAND	
	Assembly Committee on Public Safety		
	California State Assembly		
	the State Senate		
	Chair of the Assembly Committee on Public Safety		
	Dear Friend		
	State Assembly		
	the Chamber of Commerce		
	Los Angeles Unified School District		
