GPE	NORP	ORG	PERSON
San Francisco	§	Texas Rangers	Andy
Santa Monica Rent Control Board	Untouchables	Remington Siecle Will Street Blues Simon & Simo	Rober Bisno
Santa Monica City Councilman	Santa Monicans	Poltg	McCloud
KELLY		SMRR	Se aehiey 8 Gace
Santa Monica		Santa Monicans for Renters Rights	Nancy Cattell
Colorado		Canoe	Robert Bisno
		Party	Dennis Zane
		City Council	Olsen
		Delores Press	Lisa Monk Borrino
		SMRR’s Women’s Caucus	ie
		Vazquez	Ralph Mechur
		Santa Monicans for Renters Rights	Pam
		The Outlook 8/8/94	Zane Bas
		PD Blue The Streets of San Francia ce Story  Ironside Law& Order	"Councilman Anthony “Tony"" Vazquez"
		Steele Hill Street Eves <	Zane
		al Stories	Sa Ug
		ADA	Kelly
		COP	Laurie Newman
		"McCloaud=-""@KENEY & LACE"	Denny Zane
		MceGyver	Eileen Lipson
		Tomicide CHiPs Walker	Kenneth Breish
			Kelly Olsen
			Linda Sullivan
			Hawaii Five-O
			Reig
			Gncice
			vonedy ¢
			Mes
