GPE	ORG	PERSON
Louisiana	FBI	sTAl
Sacramento	Non-Profit Org	DAVID ROSENZW EM
US	Times	Carole J. Roundtree
Baton Rouge	Los Angeles Times	Dan Walker
California	ofaCompton Political	Gale Holland
Ventura County	DAVIDROSENZWEIG	Dan Walker
Ventura	the California Democratic Party	
Los Angeles	Lawmaker	
New Orleans	FBI	
Torrance	Western Waste Industries	
Angeles strip	Walker	
San Gabriel	Administrative Special	
Oceanside	Compton	
	Torrance City Counc	
	city franc	
