GPE	ORG	PERSON	NORP
San Francisco	DIGNITY	Appearance	DEMOCRATIC
U.S.	CA 94123	Kevin Murray	REPUBLICAN
San Francisco	Union Street	Stephen Marcus	Republican
Build	Medicare	Julian C. Dixon	Democratic
NRA	Political Technologies, Inc.	Gil Garcetti	
US	Union Street	Bill Clinton	
	Congress	Ralph Nader	
	CA	Kenneth G. Griffin	
	California Democratic Party	Appearance	
	State Assembly	CHARLES LAYNE	
	Superior Court	Charles Lindner	
	Social Security	Family Value	
	SANTA ANA		
	CA 94123		
	NEWT		
	BALANCE THE BUDGET ON  THE BACKS OF SENIORS		
