ORG	PERSON	GPE	NORP
CALIFORNIA 91506	Gov Info	California	Councilman
U.S. Postace	Bill	CALIFORNIA	
BURBANK	Bill 9	CONVICTION	
POLITICAL	Bill 331	City of Long Beach	
CALIFORNIA SENATE - GENER	Bill 642	M.D. City	
CALIFORNIA REPUBLICAN PARTY	Grunion Gazette	Jr. City	
Non-Profit Ors	Bill 853,5/93	Long Beach	
the Department of Corrections	Bill 1538	Fullerton	
State Senate	Bill 1232	California	
Senate	Betty Karnette	Los Angeles County Sheriff	
Assembly	Bill 888		
TELEGRAM	Bill 2863		
the Governor (Press-Telegram	Bill 1869		
DEFEND	Ken Smith		
ABC Unified School District  Former Board	Lita cae		
People's Advocate	Schools Actor1995		
California Association of Union Safety Employees  Crime Victims United	Dixie Primosch		
Howard Jarvis Taxpayers Association	Dan Koops		
ABC	Robert W. Beck City		
Bellflower Planning Commission	Peter Weber		
Pupil Services Stanley	Thomas Clark		
California State University	Jim Weisenberger		
Downey	Steve Kuykendall		
California State Marshals Association	Barbara Stone		
Pro Tem Isidro Menezes	Steven Horn		
California Correctional Peace	Barbara Rauch City		
California State Firefighters Association	Grace Hu City		
Bellflower Unified School District	Robert Beverly		
	Timothy Kelemen		
	Doug Drummond		
	Rudy Svorinich		
	Mike Donelon		
	Phil Hawkins		
	Milos Matic		
	William A. Finer		
	John Crawley		
	Gary McCaughan		
	Sherman Block		
	Jeffrey Kellogg		
	Marilyn Lyon		
	Jerry Shultz City		
	Barbara Ferraro		
	Paul Whittaker		
	Art Olivier		
	Eunice N. Sato City		
	Jerry Cleveland		
	Paul Bowlan		
	Matt Fong		
	Ed Royce		
	Ralph Morrow		
	Bill Lovelace		
	Pete Wilson		
	Dan Lungren		
	Ruth Gilson		
