GPE	ORG	PERSON
Ste	Forbes	Steve Forbes
Washington	the IRS Statistics of Income	Steve Forbes’
USA	Social Security	Bob Dole
Washington	President Committee, Inc.	Steve Forbes
	The Washington Post	Flat Tax
	TT	
	Forbes	
