GPE	NORP	ORG	PERSON
Santa Monica	Democrats	CONGRESS	Henry Waxman
U.S.	Democratic	ASSEMBLY	Bill Clinton
SANTA MONICA-MALIBU SCHOOL DISTRICT		USA Direct	Appearance
		Democratic Club	Sheila James Kuehl
		Congress	JAMES KUEHL
		SANTA MONICA COMMUNITY	Card
		Senate	AL GORE
		SHEILA	
		Assembly	
