GPE	PERSON	ORG
U.S.	David H. Roper	Math Centér
Santa Monica	Jo Katz	Emeritus
California	Ilona Jo Katz	Santa Monica College Trustee
Santa Monica College	JO KATZ	the Emeritus Board
		Emeritus College
		The Emeritus Advisory Board
		Board
		NPR
		SANTA MONICA COLLEGE BOARD OF TRUSTEES
