GPE	ORG	PERSON	NORP
SANTA MONICA	POLITICAL	Gov Info	American
Santa Monica	Chair, Commission	Kelly Olsen	
Santa Monica City Council	SMRR	Denny Zane	
LA	Santa Monicans for Renters’ Rights	Eileen Lipson	
	gsi	Treasurer	
	Santa Monica College Trustee  Dolores Press	Nancy Cattell	
	The Cream Cheese Caper	Laurie Newman	
	LA Times	Richard Bloom	
	Pier Restoration Corporation Board	Kenneth A. Breisch	
	City Council	Kelly	
	Rent Control Board	Ralph Mechur	
	LA Times	Asha Greenberg-Frank	
	SMRR	Olsen	
	Ken & Kelly's	Ken Genser	
	Santa Monicans Commented  On	Daralyn Reed	
		Linda J. Sullivan	
		CA 90401	
		Sharon Gilpin	
		Susan Wilson	
		Walter Parr	
		Ken Genser	
		Kelly	
		Genser	
		Paul Rosenstein	
		Olsen	
		Ken	
		Judy Abdo	
		Kellys	
		Christine Reed	
		Herb Katz	
