GPE	NORP	ORG	PERSON
Sacramento	Distributes	Phone	CA 90057
California		CA 94103	Reagan
+ Prevents Sacramento		Prop	
San Francisco		CA 90057	
Los Angeles		OUR SCHOOLS & COMMUNITIES	
California		The School and Community Investment Initiative	
San Francisco		7th Floor	
Los Angeles		KEEP	
		Oso ESS 23	
		Media Office	
		California Teachers Association	
		California State	
		Congress	
		California Federation of Teachers	
		Prop	
		California Labor Federation	
		California State Association of Counties	
		California Tax Reform Association	
		California Chamber of Commerce and National Federation of Independent Business	
		PTA	
		California Professional Firefighters	
		California Seniors	
		the League of Women Voters	
		Suite	
