GPE	ORG	PERSON	NORP
Sacramento	Non-Profit  Organization	Gov Info	Reecinon
California	POLITICAL	Uneenne	
Spinco	ASSEMBLY	portati log	
Sacramento	CO S240	Sak	
Jes County	Immigrati	Bowen s bill	
County	TF	Bowen	
California	Budget Conference Committee	Dt Lan	
FENCE	the Department of Corrections	Debra Bowen	
al 	The Honorable Alfred Alquist	Crenshaw Bh Assemblywoman	
req	Honorable		
ENDORSED	California Legislature HUMAN		
	jeg ge		
