GPE	NORP	ORG	PERSON
L.A	Aivazian	The Los Angeles County Safe	graffiti
Santa Monica Bay		Big Brothers of Greater Los Angeles	J. RIVETTI
West L.A.		Prop	G. STEVE SIMONIAN
West L.A		Los Angeles Police Protective League	JOSEPH C. DeLADURANTEY  seeeeterereeessesesessses2
Los Angeles County		the Association of Los Angeles	Graffiti
		the California Organization of Police and Sheriffs -- COPS	
		LA County Police Chiefs’ Association	
		Police Officers Associations	
		Los Angeles Police Protective League  ® Association of Los Angeles	
