GPE	ORG	PERSON
Los Angeles	BUR KIDS	Gov Info
BB	Curtiss Middle School  Proposition	Maps
Sia	Contracts	NEED REPAIR
Los Angeles	Proposition BB	Superintendent
	Cleveland High School  The Contract  Each school	
	Board	
