NORP	ORG	PERSON
Councilwoman	Gardena Valley Democratic Club	Eleanor Escalante
Councilwoman	Lawndale Scl i Board	Nancy Marthaens
	Centinela School Board	Councilman Norman Lagerquist
	Schos I Board: 	Chuck Bookhammer
	Board	Jim Cragin
	California Construction	Larry Rudolph
	Hawthorne School Board	Gov Info
	Gardena Valley Democratic Club	Neil Roth
	California Construction and Builder Trades	Dorothy Green
	Hasin Water Division } 	Virginia Rhodes
	Board	Shirley Rudolph
	Lawndale School Board	Martha Bails
		Mas Fukai
		Larry Guidi
		Mike Escalante
		Craig Burris
		Don Dear
		Nancy Marthaens
		Larry
		Martha Bails
		Larry Gallagher
		Craig Burris
		Dorothy Green
		Jim Cragin
		Shirley Rudolph
		Hato CA Base
		Neil Roth
		Larry Gallagher
		Norman Lagerquist
		Virginia Rhodes
		Mas Fukai
		Councilman Chuck Bookhammer
		Mike Escalante
		Don Dear
		Eleanor Escalante
		Larry Rudolph
		Councilman
		Larry Guidi
