GPE	ORG	PERSON
Sacramento	The California Democratic Party	Gov Info
U.S.	CALIFORNIA SENATE - GENERAL	Phil
	Non-Profit Org	Betty Karnette
	POLITICAL	Phil Hawkins
	The Tobacco Institute	Phil  Hawkins
	Betty	Betty  Karnette
	PHIL HAWKINS	
	Phillip Morris	
	Big Tobacco	
	Reynolds	
	AB 686	
