ORG	PERSON	GPE	NORP
CALIFORNIA SENATE - 	Adam Schiftf	Sacramento	Republican
POLITICAL	Gov Info	+ LprntA	
State Senate	Adam Schiff’s	California	
the State Senate	Richard Mountjoy	U.S.	
WELFARE	Adam Schiff		
Prop	Oppose Adam Schiff		
Burbank	Assemblywoman Paula Boland		
BI	Paula Boland		
State Senate	Adam Schiff		
California Republican Party			
CA 91506 Non-Profit Org			
the State Senate			
