GPE	NORP	ORG	PERSON
Sonoma County	Republican	California Travel Parks Association	Mark Tracy
Santa Barbara		Cambodian Association of America	County Sheriff
San Luis		Han Chuan	Charles P.
Applic Vallcy		California Medical Transportation Association	Gicn Craig Budget
Sacramento		Los Angeles Police Protective League	Don Horsley
Los Angeles County Farm Bureau		Gillingham San Dicgo County	Inc Long Beach
Siskiyou County		California Tow Truck Association Association of California Life and Health Insurance CompaniesNevada County Sheriff	Robert T. Doyle
San Diego County		California Association of Highway	Tom Sawyer
Sunta Barbara County Taxpayers Association		Roofing Contractors Association	James Tuso
Culver City Senior		California Business Properties Association	Hugh E. Comisky
Los Angeles County Black Employees Association		Los Angeles Area Chamber of Commerce Pacific Telesis Group	Jim Pope
Colusa County		Luntington Beach	Tulare County Sheriff
Los Angeles County Federation		California Business Alliance	Laguna Niguel City
Ferguson		Colusa County Sheriff Gerald E. Sladingcr	Louise Talley
San Bernardino County Farm Bureau		American Council of Life Insurance	Glen Ellen Wincry
Los Angeles County Sheriff		Ryder System	Edward N. Bonner
Modoc County District		ARCO	Larry Smith
Nevada County		California Motorcycle Dealers Association	Chuck Quackenbush
San Benito County Sheriff		Association for Los Angeles	Edward C. Williams
Santa Cruz		Ryland Insurance Services	Attomey Dennis J
Santa Clara County Sheriff		California Fire Chicfs Association	Glenn County Sheriff
San Mateo County		California Association of Life Underwriters Placer	Oren R. Fox
Nevada		Shasta County Sheriff	Dwight O. Helmick
California		Santa Rosa Chamber of Commerce California Reserve Peace Officers Association	Tehama County Sheriff Robert A. Heard
Shasta County		California Taxpayers’ Association	Jim Thomas Riverside
Orange County		Yolo County Board of Supervisors	Charles C. Plummer
Santa Barbara County Sheriff		Armstrong/Robitaille Insurance Services	Kevin) Donnelley
Lake County		U-Haul International	Ken Marvin
		Sierra Pacific Industrics	Attorncy Michacl
		Tuolumne County Board of Supervisors	Bill Kolender
		Fullerton Chamber of Commerce	Steve Magarian
		California Farm Bureau Federation	Jim Harberson
		Colusa County Board of Supervisors	Dan L. Lucas
		Bay Arca Urban League	Carl Sparks
		American Insurance Association	Bill Wittman
		California State Firefighters’ Association	Pete Knoll
		THE PERSONAL RESPONSIBILITY ACT OF	Edward R.
		California Police Chiefs Association	Sherman Block
		Crime Victims Bureau	
		Manteca Chamber of Commerce	
		Amcrican Subcontractors Association	
		American Agents Alliance	
		National Traffic Sufety Institute Orange County Sheriff Brad Gates	
		Board of Supervisors	
		Caterpillar Inc.	
		Asian Pacific Islander Planoing Council	
		Korean American Associution of Orange County Glendale Chamber of Commerce Ruben Barrales	
		Oakland Metropolitan Chamber of Commerce Marshals Association of California Kern County District	
		Republican Hispanic Assembly	
		Nationwide Insurance Enterprises Action Auto Brokers American States Insurance Company Apace Moving Systems	
		California Union of Safety Employees	
		California Council on Alcohol Problems	
		United Transportation Services	
		Friends of Murder Victims Montercy County Sheriffs Department	
