GPE	ORG	PERSON
Sacramento	the California Democratic Party	Paula Boland
US	Burbank	Paula Boland
California	TOWLE	David Tokofsky
California	California Department of Education	Jeanne Broberg
Pasadena	Boland	George Van Alstine
San Marino	California Department of Education	Meredith Reynolds
Temple City Unified	California Teachers Association	Lynda Rocamora
	Glendale Teachers Association	David Nos
	Pasadena School Board	ADAM SCHIFF
	Los Angeles School Board	Robert Holmes
	San Marino School Board	Patricia Martinez-Miller
	Burbank Teachers Association	William Moffitt
	Connie Lackey	Adam
	Pasadéna School Board	George Padilla
	Pasadena School Board	Margaret Ann Abdalla
	Burbank School Board	Adam Schiff
	School Board	Virginia Dalbeck
	La Canada- Flintridge School Board	
	La Canada-Flintridge School Board	
	South Pasadena School Board	
	United Teachers of Pasadena	
	Glendale School Board	
