GPE	ORG	PERSON	NORP
US	POLITICAL	Gov Info	Democratic
California	Congress	Barry Gordon	
U.S.	Screen Actors Guild	Doug Kahn	
	Labor	Barry Gordon	
	U.S. Congress	Barry Gorvon	
	the United Nations Special Committee	Barry	
	the California Federation of Teachers	Apartheid	
	the League of Conservation Voters	Newt	
	Mareh 26	Newt Gingrich	
	Democratic Party		
	the Partnership for a Drug Free America		
	Social Security		
	the California Federation		
	Medicare		
	the California Democratic Party		
	the National Organization for Women		
