GPE	ORG	PERSON	NORP
U.S	POLITICAL	Gov Info	Democrat
CALIFORNIA	Van Nuys	Richard Bioom	
California	HUY	Pat Murphy	
	NH N	Michael Feinstein	
	PAR	Kelly Olsen	
	SCHOOL BOARD	Appearance	
	Dedicated Parent	Dianne Feinstein	
	PARTY		
	RENT CONTROL BOARD		
	CONTROL BOARD 		
	CITY COUNCIL		
	CONGRESS		
	ASSEMBLY		
	COLLEGE BOARD		
	Consumers Union		
	AARP Support-No Taxes		
	TCP		
	Stop HMO Abuses		
	The League of Women Voters		
	Sponsored		
	Brings		
	the Doctor-Patient Relationship		
