GPE	NORP	ORG	PERSON
Los Angeles	Californians	WWW	Pele
the United States	Californians	the Supreme Court	Ginsburg
DR		the California Association of Scholars	Zip
Hayward		California State University	
California		the University of Cali- 	
the United State		TOM WOOD	
the United States		Supreme Court	
Los Angeles		State	
		Iwill	
		The State Legislature	
