GPE	NORP	ORG	PERSON
Hawaii	Americans	SET	¢ Allow
U.S.A.	American	Prohibit	Prohibit
		the Executive Branch	
		THE WHITE HOUSE	
		MEDICARE	
		State	
		CA Reform Party Hdqtrs	
		CONGRESS	
		the REFORM PARTY	
		MEDICAID	
		Electoral College	
		the House of Representatives	
		Commerce Departments	
		Congress	
		Senate	
		the Line Item Veto	
		+ Negotiate	
		the Balanced Budget Amendment	
		Legislative	
		the White House	
