ORG	PERSON	GPE	NORP
CALIFORNIA SENATE - GENERAL	Gov Info	California	Adjunct
POLITICAL	Jarvey Gilbert	Los Angeles City	Democrat
California Teachers Association	Tou	South Pasadena	
Big Brother Program	Anne Pursel	Los Angeles County Firefighters	
U.S. Department of Justice	Dave Golonski		
California Police Chiefs Association  Local Firefighters	Harry Knapp		
La Canada-Flintridge	Dorothy Cohen		
City Council	Adam Schiff		
Harvard Law School	Amedee O. Richards		
United Firefighters	Carol Liu		
Burbank City Council	William Moffitt		
United Teachers of Pasadena California Federation of Teachers	Bob Kramer		
Glendale School Board	George Padilla		
South Pasadena City Council	George Van Alstine		
Burbank	Patricia Martinez-Miller		
Crescenta Valley Town Council	Bill Crowfoot		
Pasadena City Council	Joyce Streator		
Town Council	Ted McConkey		
Stanford	Solveig Traeger		
Federal Criminal Prosecutor	Chris Holden		
Pasadena Firefighters Association	Jerry Van Orden		
Armenian National Committee  Community Leaders	Rick Cole		
Glendale Teachers Association	Lynda Rocamora		
Burbank Teachers Association	Eve		
California Nurses Association			
Pasadena School Board			
Sierra Club			
South Pasadena School Board			
La Canada- Flintridge School Board			
California Organization of Police and Sheriffs			
Burbank Firefighters Association  Glendale Firefighters Association			
