PERSON	GPE	NORP	ORG
Dan Walker	California	Councilman	State Department of Social Services
Councilman Walker	Masada		The Masada Home
Gary Altena			Assembly
Dan Walker			Assemblyman
Debra Bowen			State Assemblywoman
			the Masada Home
			Masada Home
			City Council
