PERSON	GPE	ORG
VINUOSIIVO	Sacramento	Assembly
Adam	San Francisco	Legislature
Tojalini	Michaelynn	GE
Brown	May Haven	the California Public Interest Research Group
Bill Lockyer		Assemblyman
Willie Brown		State Senate
Adam Schiff’s		SSCHIFF
Adam Schiff		California Public Interest Research Group
James Rogan		Schiff
Schiff		Besse Licher FE
David Carletta		Burbank
Gwynn Bacon		Riley
Sally		Jane & Bert
Aaron Weissman		Yolanda
Jane Crosby		State Senate
William Dahlberg		Republican Party
Joan Slater		
Linda Waldheim		
Elizabeth Lent  Leicker		
Denise Delurgio Dean Hopley		
Baldo Kristovich		
Deukmejian		
Bill White		
John Conlan		
Rosemary Burnett		
Farnaz Khankhanian		
Bill Slater		
Kenneth Martin		
Ed		
Gee Ossman		
Mary		
Hrayr Sassounian		
Lucy		
Chuck		
Clifford Richards		
Elliot Graham		
Johnny Zamrzla		
Robert Philobosian		
D.G. Gumpertz Frank Carlisi 		
Marie Canella Stone		
Donald Swabb		
Betty Cordoba		
Leonard Levy		
Susan Clemens		
John Goodlad		
Carl		
Charles Park		
Bill		
William Logan		
Ann Edmonston		
James		
John Gantus		
B.K. Holderness		
Frederik Der-Hacopian		
Bill Schirmer		
Jud Roberts		
Patrick Liddell		
Barry Burnett		
Rosemary Simmons		
Fred Fiedler		
A. Miller		
Mary Moro		
Carvel		
Ginger Brembi		
Jim		
Thomas Moore		
Lee Purdy		
JoAnne Darcy		
Jack		
Frank De Santis		
O.K. Earl		
Pat Simms-Chamberlain		
Alan Stone		
Jr		
Howard Dickson		
Terry Bork		
John McNabb		
Norman Nelson		
Sydney Bennett		
John Davitt		
Sophia Waugh		
Wilbert Smith		
Dave Greenbaum		
Thomas		
Scott Schaffer		
Paul Anding		
Assemblywoman Paula Boland		
Gordon McDonough		
E.P.		
Pat Gay		
Genevieve Sultenfuss		
Ruth Dodson		
Richard Neiderbers		
Henry Braun		
Caroline Kinkle		
Robert DePietro		
Lee Fogg		
John Krikorian		
Don La Grange		
Tye Veden		
Lucy Highlands		
Tony Sardo 		
Peter Musurlian		
John Llewellyn		
Scott Ackerly		
George Tannous		
George A. Miller		
Lloyd Boland		
Richard Ferraro		
Angel Angel 		
Al Vieri		
Michael		
Glady Kabatack  Pam Corradi 		
Dolly Carl		
Alma Olney 		
Evelyn Bray		
John Locke 		
Helen Anderson		
Paul Weisman		
Duane De Croupet		
James Stauffer		
Larry Rosine		
Boeckmann		
Leman Herridge		
Joyce Ayvazi		
Kathy Anthony 		
Donald Reinir		
Dick Starr		
Ernest Dronenberg		
Joseph Graziani		
Carl Yarick		
Lynne Raggio 		
Mark Davis		
Franklin Kam		
Bea Moyle		
Barret Weathe		
Nancy		
Dorothy Edouart		
Ollie Blanning		
Joe Hooven		
Joe		
Salvatore Gangi		
Paul Rusnak		
