GPE	NORP	ORG	PERSON
educati	Californians	Jess	Jess
California		State	Robert Turner
U.S.		AFL/CIO Sinewide	John Flynn
V.C.		Committed	Richard Polanco
Ventura County		American Red Cross	Amny Veteran
CALIFORNIA		City Council	Manuel Lopez
		P.O. Box 1705	Charles Weiss
		Friends of Oxnard Coll  Base Realignment — Task Force	County Supervisor
		Camarillo	Jess Herrera
		HERRERA	Port Hueneme
		U.S. Navy League	Estban Torres
			Jess Herrera
			Jon Sharkey
