GPE	ORG	PERSON
Santa Monica	City Council, Committee	Todd Hess
US	School Board	Harlan Dorin
Santa Monica	AMAC	Frank Schwengel
Santa Monica City Council	City Council	Shari Davis
	Friends of Asha Greenberg	Jo Katz
	S.M. College Trustee	Frank D. Schwengel
	Public Safety Facility	Recreation Parks
	S.M.-Malibu School Board	Ilona Jo Katz
	Businessman/Community	Todd Hess
	Santa Monica College Trustee	Harlan Dorin
		Shari L. Davis
		Asha S. Greenberg
