GPE	NORP	ORG	PERSON
California	Republican	Glendale News-Press 7/17/96	John Geranios
Sacramento		Glendale News-Press	
		CA	
		California Voter’s Guide 3/96	
		State	
		L.A Municipal Court	
		Party	
		the California Democratic Party	
