GPE	ORG	PERSON
California	POLITICAL	Gov Info
Glendale	Assembly	Scott Wildman
California	Suite	John Geranios
Glendale	ASSEMBLY	John Geranios
San Francisco	Burbank	Enforce
Los Angeles	State Assembly	Scott Wildman
California	California Correctional Peace	John Burton
Los Angeles County	Strictly	Don Novey
	State Assembly	Carol Migden
	ASSEMBLY	Dan Lungren
	Burbank	John Geranios
	Glendale	Ret
	Association of Motor Vehicle Investigators	Harriet Salarno
	California Organization of Police and Sheriffs Anronntion  Association of Criminalists-Department of Justice GalitaeniaierenveiPeace	Sherman Block
	Mary’s College	ohn Geranios
	Chair Crime Victims United	
	Los Angeles Police Protective League California Association of State Investigators 	
	the State Assembly	
	California Union of Safety Employees Veta	
	the Business Department	
	California Association of Criminal Investigators	
	Justice	
	Emergency Services Association	
	the University of Southern California	
	California Association of Fraud Investigators	
	Association of Special Agents—-Department	
	Ser California Highway Patrol - Radio Dispatchers	
